available_bikes,month,temp,feels_like,humidity,available_bikes_1h
23,1,8.85,4.09,75,23
23,1,8.43,4.16,81,23
23,1,8.06,4.28,87,23
23,1,8.69,4.82,81,23
23,1,8.8,3.83,81,23
23,1,8.63,4.4,81,23
23,1,8.72,4.16,81,23
23,1,8.9,5.07,81,21
21,1,8.6,3.81,87,20
20,1,8.27,4.4,93,20
20,1,8.15,4.25,93,19
19,1,8.98,4.92,93,19
19,1,8.95,4.89,93,20
20,1,9.15,6.18,93,19
19,1,9.11,7.18,93,19
19,1,8.43,5.3,93,18
18,1,7.67,4.71,93,15
15,1,7.21,4.3,87,16
16,1,6.52,3.45,86,15
15,1,6.35,3.6,86,17
17,1,6.09,2.59,86,16
16,1,4.96,1.61,86,16
16,1,4.26,1.75,93,18
18,1,3.33,0.48,86,18
18,1,3.95,1.2,86,19
19,1,4.24,1.73,93,19
19,1,4.79,2.88,86,19
19,1,4.8,2.22,86,19
19,1,4.85,1.13,86,19
19,1,5.62,2.4,75,18
18,1,5.58,1.14,81,18
18,1,5.54,0.91,75,18
18,1,5.71,2.51,75,0
0,1,5.55,2.32,75,0
0,1,5.98,1.77,75,0
0,1,6.72,2.47,70,0
0,1,6.88,2.65,70,11
11,1,6.92,3.05,70,6
6,1,6.96,3.28,65,2
2,1,6.99,4.27,60,19
19,1,6.58,3.36,70,18
18,1,5.55,2.74,75,12
12,1,4.99,2.94,80,11
11,1,5.07,2.68,80,12
12,1,5.07,2.86,86,11
11,1,5.52,2.86,80,12
12,1,5.67,3.91,86,13
13,1,5.68,3.22,86,14
14,1,6.09,3.55,81,12
12,1,5.96,3.4,81,12
12,1,5.93,3.36,81,12
12,1,5.91,3.16,75,12
12,1,5.54,2.73,75,12
12,1,5.23,2.87,80,11
11,1,5.93,2.76,75,12
12,1,5.93,1.89,81,9
9,1,5.87,2.17,81,0
0,1,5.87,1.47,81,0
0,1,6.29,2.12,86,7
7,1,6.47,3.39,86,6
6,1,6.91,3.75,81,17
17,1,7.21,4.1,81,19
19,1,7.22,4.89,81,20
20,1,7.3,4.36,75,19
19,1,6.93,4.32,87,17
17,1,6.76,4.5,86,23
23,1,6.93,4.54,81,18
18,1,6.92,4.88,81,21
21,1,6.48,3.42,81,20
20,1,6.86,4.61,75,20
20,1,6.46,3.38,75,20
20,1,6.09,2.95,75,22
22,1,6.1,3.56,81,22
22,1,6.11,3.39,75,22
22,1,6.09,2.95,75,22
22,1,5.59,2.22,70,22
22,1,5.54,2.16,70,22
22,1,5.38,1.98,70,21
21,1,5.28,2.14,65,40
40,1,4.98,1.66,75,39
39,1,4.95,1.14,70,17
17,1,4.82,1.76,70,16
16,1,4.81,0.63,70,9
9,1,4.94,0.28,65,3
3,1,5.05,1.25,70,0
0,1,5.15,0.31,70,0
0,1,5.14,0.3,70,19
19,1,5.36,1.4,75,17
17,1,5.51,2.55,70,14
14,1,5.11,1.11,75,22
22,1,5.78,2.08,70,16
16,1,5.87,2.19,70,19
19,1,5.96,2.45,75,17
17,1,5.96,2.1,75,18
18,1,5.76,2.21,75,19
19,1,5.69,3.25,75,20
20,1,5.77,2.58,75,20
20,1,5.82,2.63,75,21
21,1,5.95,3.05,70,21
21,1,5.05,2.31,80,21
21,1,3.47,0.64,86,21
21,1,5.31,2.61,80,20
20,1,5.64,2.84,75,20
20,1,5.67,2.46,75,19
19,1,5.73,2.53,75,20
20,1,5.0,1.34,75,19
19,1,5.59,1.85,81,16
16,1,6.25,1.73,75,14
14,1,6.88,3.0,70,13
13,1,7.2,2.84,75,13
13,1,7.2,3.54,75,12
12,1,7.09,3.76,75,8
8,1,7.09,3.41,75,6
6,1,6.53,2.76,75,6
6,1,6.97,3.62,75,8
8,1,7.69,3.94,70,10
10,1,7.83,4.28,75,9
9,1,8.01,4.49,75,9
9,1,8.08,4.23,75,8
8,1,7.96,4.78,75,8
8,1,7.96,4.43,75,9
9,1,7.56,4.17,81,9
9,1,7.63,4.6,81,9
9,1,7.53,4.48,81,9
9,1,7.86,4.88,81,9
9,1,7.71,4.56,87,9
9,1,8.42,5.76,87,8
8,1,8.39,6.08,87,8
8,1,8.4,5.52,81,7
7,1,8.4,5.87,81,3
3,1,8.6,5.76,81,2
2,1,9.42,6.91,76,2
2,1,9.6,7.12,76,0
0,1,9.87,7.1,76,16
16,1,9.81,6.68,76,36
36,1,9.93,6.47,76,34
34,1,9.67,6.51,76,31
31,1,9.58,6.4,76,28
28,1,8.36,5.82,81,25
25,1,8.2,6.05,81,24
24,1,8.08,5.7,87,24
24,1,8.81,5.89,87,23
23,1,9.43,6.41,81,25
25,1,9.13,6.4,81,26
26,1,9.26,6.44,87,26
26,1,9.63,6.54,87,26
26,1,9.96,6.6,87,26
26,1,9.99,6.64,87,26
26,1,10.09,6.31,93,26
26,1,10.15,6.38,93,26
26,1,10.05,5.84,93,26
26,1,10.85,6.49,93,25
25,1,10.45,3.92,87,3
3,1,10.74,3.67,81,0
0,1,10.82,4.89,81,0
0,1,10.03,4.17,87,0
0,1,9.91,4.61,93,14
14,1,9.93,4.63,93,10
10,1,10.07,2.99,93,11
11,1,10.48,3.95,87,10
10,1,10.12,3.51,87,11
11,1,9.23,2.95,81,8
8,1,7.96,2.13,81,13
13,1,6.87,1.69,86,16
16,1,6.19,0.89,86,19
19,1,6.34,0.01,86,17
17,1,6.05,0.37,86,16
16,1,6.07,0.39,86,17
17,1,6.07,1.16,86,18
18,1,5.92,0.99,86,18
18,1,5.72,0.19,93,18
18,1,6.07,0.39,86,18
18,1,5.83,1.58,86,18
18,1,5.77,1.51,86,35
35,1,5.74,1.12,86,34
34,1,6.06,1.7,81,33
33,1,6.06,1.7,81,3
3,1,5.63,1.2,93,3
3,1,6.19,1.31,86,18
18,1,6.37,0.4,86,19
19,1,7.51,0.68,75,11
11,1,8.0,2.31,75,5
5,1,7.97,2.28,75,8
8,1,7.99,2.3,75,4
4,1,6.81,2.93,81,17
17,1,4.67,0.92,86,12
12,1,3.81,-0.78,86,15
15,1,3.91,-1.18,93,22
22,1,4.49,0.2,93,25
25,1,4.35,-0.16,86,26
