available_bikes,month,day,hour,day_of_the_week,temp,feels_like,pressure,humidity,wind_speed,wind_deg,rain_last_hour,clouds_all,weather_main,available_bikes_1h
23,1,1,0,1,8.85,4.09,1035,75,5.1,250,0.0,40,1,23
23,1,1,1,1,8.43,4.16,1034,81,4.6,250,0.0,40,1,23
23,1,1,2,1,8.06,4.28,1034,87,4.1,250,0.0,40,1,23
23,1,1,3,1,8.69,4.82,1034,81,4.1,250,0.0,75,1,23
23,1,1,4,1,8.8,3.83,1034,81,5.7,260,0.0,75,1,23
23,1,1,5,1,8.63,4.4,1034,81,4.6,260,0.0,75,1,23
23,1,1,6,1,8.72,4.16,1034,81,5.1,260,0.0,75,1,23
23,1,1,7,1,8.9,5.07,1036,81,4.1,250,0.0,75,1,21
21,1,1,8,1,8.6,3.81,1036,87,5.7,270,0.0,75,1,20
20,1,1,9,1,8.27,4.4,1036,93,4.6,260,0.0,75,3,20
20,1,1,10,1,8.15,4.25,1036,93,4.6,270,0.5,75,3,19
19,1,1,11,1,8.98,4.92,1037,93,5.1,280,0.5,75,3,19
19,1,1,12,1,8.95,4.89,1037,93,5.1,290,0.5,75,3,20
20,1,1,13,1,9.15,6.18,1038,93,3.6,330,0.0,90,1,19
19,1,1,14,1,9.11,7.18,1038,93,2.1,300,0.0,90,3,19
19,1,1,15,1,8.43,5.3,1038,93,3.6,360,0.0,75,1,18
18,1,1,16,1,7.67,4.71,1039,93,3.1,350,0.0,75,1,15
15,1,1,17,1,7.21,4.3,1039,87,2.6,10,0.0,75,1,16
16,1,1,18,1,6.52,3.45,1040,86,2.6,10,0.0,75,1,15
15,1,1,19,1,6.35,3.6,1040,86,2.1,10,0.0,75,1,17
17,1,1,20,1,6.09,2.59,1041,86,3.1,360,0.0,75,1,16
16,1,1,21,1,4.96,1.61,1040,86,2.6,20,0.0,75,1,16
16,1,1,22,1,4.26,1.75,1041,93,1.5,0,0.0,75,1,18
